date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:48	54335/54335	---MCZ	200	added ('OK')	text/html	date:Sat,%2008%20May%202021%2008:21:05%20GMT	https://lmpixels.com/demo/breezycv/light/1/index.html	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/index.html	(from )
13:07:50	703/703	---MC-	302	error ('Found')	text/html	date:Mon,%2005%20May%202025%2007:37:49%20GMT	https://lmpixels.com/robots.txt		(from )
13:07:51	1150/1150	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225e733e7e-47e%22	https://lmpixels.com/demo/breezycv/light/1/favicon.ico	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/favicon.ico	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:51	1203/1203	---MCZ	200	added ('OK')	text/css	etag:W/%225e4f9df0-4b3%22	https://lmpixels.com/demo/breezycv/light/1/css/reset.css	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/css/reset.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:53	28977/28977	---MCZ	200	added ('OK')	text/css	etag:W/%225b5690ea-7131%22	https://lmpixels.com/demo/breezycv/light/1/css/bootstrap-grid.min.css	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/css/bootstrap-grid.min.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:54	42981/42981	---MCZ	200	added ('OK')	text/css	etag:W/%225e4b9a18-a7e5%22	https://lmpixels.com/demo/breezycv/light/1/css/animations.css	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/css/animations.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:55	4411/4411	---MCZ	200	added ('OK')	text/css	etag:W/%225e46d326-113b%22	https://lmpixels.com/demo/breezycv/light/1/css/perfect-scrollbar.css	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/css/perfect-scrollbar.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:56	4112/4112	---MCZ	200	added ('OK')	text/css	etag:W/%22580fd9b6-1010%22	https://lmpixels.com/demo/breezycv/light/1/css/owl.carousel.css	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/css/owl.carousel.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:56	7782/7782	---MCZ	200	added ('OK')	text/css	etag:W/%2258aacbc8-1e66%22	https://lmpixels.com/demo/breezycv/light/1/css/magnific-popup.css	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/css/magnific-popup.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:58	59124/59124	---MCZ	200	added ('OK')	text/css	etag:W/%2260964aa6-e6f4%22	https://lmpixels.com/demo/breezycv/light/1/css/main.css	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/css/main.css	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:07:59	9599/9599	---MCZ	200	added ('OK')	application/javascript	etag:W/%22588b7e0e-257f%22	https://lmpixels.com/demo/breezycv/light/1/js/modernizr.custom.js	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/js/modernizr.custom.js	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:08:00	51128/51128	---M--	200	added ('OK')	image/png	etag:%225e909360-c7b8%22	https://lmpixels.com/demo/breezycv/light/1/img/main_bg.png	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/img/main_bg.png	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:08:01	34406/34406	---M--	200	added ('OK')	image/jpeg	etag:%225e7b064c-8666%22	https://lmpixels.com/demo/breezycv/light/1/img/main_photo.jpg	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/img/main_photo.jpg	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:08:01	23988/23988	---M--	200	added ('OK')	image/jpeg	etag:%225e5ceff0-5db4%22	https://lmpixels.com/demo/breezycv/light/1/img/testimonials/testimonial-1.jpg	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/img/testimonials/testimonial-1.jpg	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:08:02	14861/14861	---M--	200	added ('OK')	image/jpeg	etag:%225e5ceeee-3a0d%22	https://lmpixels.com/demo/breezycv/light/1/img/testimonials/testimonial-2.jpg	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/img/testimonials/testimonial-2.jpg	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:08:03	21287/21287	---M--	200	added ('OK')	image/jpeg	etag:%225e5cf048-5327%22	https://lmpixels.com/demo/breezycv/light/1/img/testimonials/testimonial-3.jpg	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/img/testimonials/testimonial-3.jpg	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
13:08:04	2783/2783	---M--	200	added ('OK')	image/png	etag:%225e4e56a6-adf%22	https://lmpixels.com/demo/breezycv/light/1/img/clients/client-1.png	/Users/nakulyadav/websites/portfolio/lmpixels.com/demo/breezycv/light/1/img/clients/client-1.png	(from https://lmpixels.com/demo/breezycv/light/1/index.html)
